time;model_id;model_name;port_name;data
16;2;c2;outputNeighborhood;<200,0.583,0.18,0.237>
16;2;c2;;<200,0.543,0.184,0.273>
16;3;c3;outputNeighborhood;<200,0.37,0.152,0.478>
16;3;c3;;<200,0.348,0.144,0.508>
17;1;c1;outputNeighborhood;<100,0.19,0.22,0.59>
17;1;c1;;<100,0.167,0.199,0.634>
17;2;c2;outputNeighborhood;<200,0.543,0.184,0.273>
17;2;c2;;<200,0.505,0.185,0.31>
17;3;c3;outputNeighborhood;<200,0.348,0.144,0.508>
17;3;c3;;<200,0.328,0.135,0.537>
18;1;c1;outputNeighborhood;<100,0.167,0.199,0.634>
18;1;c1;;<100,0.148,0.178,0.674>
18;2;c2;outputNeighborhood;<200,0.505,0.185,0.31>
18;2;c2;;<200,0.47,0.183,0.347>
18;3;c3;outputNeighborhood;<200,0.328,0.135,0.537>
18;3;c3;;<200,0.31,0.126,0.564>
19;1;c1;outputNeighborhood;<100,0.148,0.178,0.674>
19;1;c1;;<100,0.132,0.158,0.71>
19;2;c2;outputNeighborhood;<200,0.47,0.183,0.347>
19;2;c2;;<200,0.438,0.178,0.384>
19;3;c3;outputNeighborhood;<200,0.31,0.126,0.564>
19;3;c3;;<200,0.294,0.117,0.589>
20;1;c1;outputNeighborhood;<100,0.132,0.158,0.71>
20;1;c1;;<100,0.119,0.139,0.742>
20;2;c2;outputNeighborhood;<200,0.438,0.178,0.384>
20;2;c2;;<200,0.409,0.171,0.42>
20;3;c3;outputNeighborhood;<200,0.294,0.117,0.589>
20;3;c3;;<200,0.28,0.108,0.612>
21;1;c1;outputNeighborhood;<100,0.119,0.139,0.742>
21;1;c1;;<100,0.108,0.122,0.77>
21;2;c2;outputNeighborhood;<200,0.409,0.171,0.42>
21;2;c2;;<200,0.384,0.162,0.454>
21;3;c3;outputNeighborhood;<200,0.28,0.108,0.612>
21;3;c3;;<200,0.267,0.099,0.634>
22;1;c1;outputNeighborhood;<100,0.108,0.122,0.77>
22;1;c1;;<100,0.1,0.106,0.794>
22;2;c2;outputNeighborhood;<200,0.384,0.162,0.454>
22;2;c2;;<200,0.362,0.152,0.486>
22;3;c3;outputNeighborhood;<200,0.267,0.099,0.634>
22;3;c3;;<200,0.256,0.09,0.654>
23;1;c1;outputNeighborhood;<100,0.1,0.106,0.794>
23;1;c1;;<100,0.093,0.092,0.815>
23;2;c2;outputNeighborhood;<200,0.362,0.152,0.486>
23;2;c2;;<200,0.343,0.141,0.516>
23;3;c3;outputNeighborhood;<200,0.256,0.09,0.654>
23;3;c3;;<200,0.247,0.081,0.672>
24;1;c1;outputNeighborhood;<100,0.093,0.092,0.815>
24;1;c1;;<100,0.087,0.08,0.833>
24;2;c2;outputNeighborhood;<200,0.343,0.141,0.516>
24;2;c2;;<200,0.326,0.13,0.544>
24;3;c3;outputNeighborhood;<200,0.247,0.081,0.672>
24;3;c3;;<200,0.239,0.073,0.688>
25;1;c1;outputNeighborhood;<100,0.087,0.08,0.833>
25;1;c1;;<100,0.082,0.069,0.849>
25;2;c2;outputNeighborhood;<200,0.326,0.13,0.544>
25;2;c2;;<200,0.311,0.119,0.57>
25;3;c3;outputNeighborhood;<200,0.239,0.073,0.688>
25;3;c3;;<200,0.231,0.066,0.703>
26;1;c1;outputNeighborhood;<100,0.082,0.069,0.849>
26;1;c1;;<100,0.078,0.059,0.863>
26;2;c2;outputNeighborhood;<200,0.311,0.119,0.57>
26;2;c2;;<200,0.298,0.108,0.594>
26;3;c3;outputNeighborhood;<200,0.231,0.066,0.703>
26;3;c3;;<200,0.225,0.059,0.716>
27;1;c1;outputNeighborhood;<100,0.078,0.059,0.863>
27;1;c1;;<100,0.074,0.051,0.875>
27;2;c2;outputNeighborhood;<200,0.298,0.108,0.594>
27;2;c2;;<200,0.286,0.098,0.616>
27;3;c3;outputNeighborhood;<200,0.225,0.059,0.716>
27;3;c3;;<200,0.219,0.053,0.728>
28;1;c1;outputNeighborhood;<100,0.074,0.051,0.875>
28;1;c1;;<100,0.071,0.044,0.885>
28;2;c2;outputNeighborhood;<200,0.286,0.098,0.616>
28;2;c2;;<200,0.276,0.088,0.636>
28;3;c3;outputNeighborhood;<200,0.219,0.053,0.728>
28;3;c3;;<200,0.214,0.047,0.739>
29;1;c1;outputNeighborhood;<100,0.071,0.044,0.885>
29;1;c1;;<100,0.068,0.038,0.894>
29;2;c2;outputNeighborhood;<200,0.276,0.088,0.636>
29;2;c2;;<200,0.267,0.079,0.654>
29;3;c3;outputNeighborhood;<200,0.214,0.047,0.739>
29;3;c3;;<200,0.21,0.042,0.748>
30;1;c1;outputNeighborhood;<100,0.068,0.038,0.894>
30;1;c1;;<100,0.065,0.033,0.902>
30;2;c2;outputNeighborhood;<200,0.267,0.079,0.654>
30;2;c2;;<200,0.259,0.071,0.67>
30;3;c3;outputNeighborhood;<200,0.21,0.042,0.748>
30;3;c3;;<200,0.207,0.037,0.756>
31;1;c1;outputNeighborhood;<100,0.065,0.033,0.902>
31;1;c1;;<100,0.063,0.028,0.909>
31;2;c2;outputNeighborhood;<200,0.259,0.071,0.67>
31;2;c2;;<200,0.253,0.063,0.684>
31;3;c3;outputNeighborhood;<200,0.207,0.037,0.756>
31;3;c3;;<200,0.204,0.033,0.763>
32;1;c1;outputNeighborhood;<100,0.063,0.028,0.909>
32;1;c1;;<100,0.061,0.024,0.915>
32;2;c2;outputNeighborhood;<200,0.253,0.063,0.684>
32;2;c2;;<200,0.247,0.056,0.697>
32;3;c3;outputNeighborhood;<200,0.204,0.033,0.763>
32;3;c3;;<200,0.201,0.029,0.77>
33;1;c1;outputNeighborhood;<100,0.061,0.024,0.915>
33;1;c1;;<100,0.06,0.02,0.92>
33;2;c2;outputNeighborhood;<200,0.247,0.056,0.697>
