time;model_id;model_name;port_name;data
0;224;(-13,70);;<0>
0;225;(-15,70);;<0>
0;226;(-17,70);;<0>
0;227;(-24,70);;<0>
0;228;(75,69);;<0>
0;229;(71,69);;<0>
0;230;(70,69);;<0>
0;231;(66,69);;<0>
0;232;(64,69);;<0>
0;233;(63,69);;<0>
0;234;(61,69);;<0>
0;235;(54,69);;<0>
0;236;(52,69);;<0>
0;237;(51,69);;<0>
0;238;(47,69);;<0>
0;239;(44,69);;<0>
0;240;(42,69);;<0>
0;241;(40,69);;<0>
0;242;(37,69);;<0>
0;243;(36,69);;<0>
0;244;(34,69);;<0>
0;245;(28,69);;<0>
0;246;(27,69);;<0>
0;247;(26,69);;<0>
0;248;(21,69);;<0>
0;249;(18,69);;<0>
0;250;(16,69);;<0>
0;251;(15,69);;<0>
0;252;(10,69);;<0>
0;253;(9,69);;<0>
0;254;(6,69);;<0>
0;255;(3,69);;<0>
0;256;(-1,69);;<0>
0;257;(-5,69);;<0>
0;258;(-8,69);;<0>
0;259;(-11,69);;<0>
0;260;(-12,69);;<0>
0;261;(-14,69);;<0>
0;262;(-15,69);;<0>
0;263;(-16,69);;<0>
0;264;(-17,69);;<0>
0;265;(-20,69);;<0>
0;266;(-6,73);;<0>
0;267;(-22,69);;<0>
0;268;(-23,69);;<0>
0;269;(73,68);;<0>
0;270;(71,68);;<0>
0;271;(70,68);;<0>
0;272;(67,68);;<0>
0;273;(65,68);;<0>
0;274;(63,68);;<0>
0;275;(62,68);;<0>
0;276;(61,68);;<0>
0;277;(58,68);;<0>
0;278;(57,68);;<0>
0;279;(55,68);;<0>
0;280;(53,68);;<0>
0;281;(51,68);;<0>
0;282;(49,68);;<0>
0;283;(48,68);;<0>
0;284;(47,68);;<0>
0;285;(42,70);;<0>
0;286;(44,68);;<0>
0;287;(43,68);;<0>
0;288;(40,68);;<0>
0;289;(38,68);;<0>
0;290;(36,68);;<0>
0;291;(-23,74);;<0>
0;292;(35,68);;<0>
0;293;(32,68);;<0>
0;294;(31,68);;<0>
0;295;(30,68);;<0>
0;296;(29,68);;<0>
0;297;(28,68);;<0>
0;298;(26,68);;<0>
0;299;(24,68);;<0>
0;300;(23,68);;<0>
0;301;(22,68);;<0>
0;302;(21,68);;<0>
0;303;(18,68);;<0>
0;304;(17,68);;<0>
0;305;(15,68);;<0>
0;306;(12,68);;<0>
0;307;(72,68);;<0>
0;308;(8,68);;<0>
0;309;(4,68);;<0>
0;310;(2,68);;<0>
0;311;(1,68);;<0>
0;312;(0,68);;<0>
0;313;(-1,68);;<0>
0;314;(-3,68);;<0>
0;315;(-5,68);;<0>
0;316;(-6,68);;<0>
0;317;(-7,68);;<0>
0;318;(-9,68);;<0>
0;319;(11,68);;<0>
0;320;(-12,68);;<0>
0;321;(33,69);;<0>
0;322;(-17,68);;<0>
0;323;(-18,68);;<0>
0;324;(-24,68);;<0>
0;325;(73,67);;<0>
0;326;(68,67);;<0>
0;327;(64,67);;<0>
0;328;(62,67);;<0>
0;329;(60,67);;<0>
0;330;(59,67);;<0>
0;331;(54,67);;<0>
0;332;(52,67);;<0>
0;333;(50,67);;<0>
0;334;(44,67);;<0>
0;335;(40,67);;<0>
0;336;(39,67);;<0>
0;337;(38,67);;<0>
0;338;(34,67);;<0>
0;339;(33,67);;<0>
0;340;(31,67);;<0>
0;341;(-6,71);;<0>
0;342;(-11,71);;<0>
0;343;(30,67);;<0>
0;344;(27,67);;<0>
0;345;(26,67);;<0>
0;346;(25,67);;<0>
0;347;(21,67);;<0>
0;348;(13,67);;<0>
0;349;(12,67);;<0>
0;350;(10,67);;<0>
0;351;(7,67);;<0>
0;352;(5,67);;<0>
0;353;(-2,67);;<0>
0;354;(-3,67);;<0>
0;355;(-6,67);;<0>
0;356;(-7,67);;<0>
0;357;(-8,67);;<0>
0;358;(-9,67);;<0>
0;359;(-14,67);;<0>
0;360;(-19,67);;<0>
0;361;(-23,68);;<0>
0;362;(-24,67);;<0>
0;363;(75,66);;<0>
0;364;(74,66);;<0>
0;365;(70,66);;<0>
0;366;(68,66);;<0>
0;367;(64,66);;<0>
0;368;(61,66);;<0>
0;369;(60,66);;<0>
0;370;(58,66);;<0>
0;371;(57,66);;<0>
0;372;(55,66);;<0>
0;373;(53,66);;<0>
0;374;(51,66);;<0>
0;375;(48,66);;<0>
0;376;(46,66);;<0>
0;377;(43,66);;<0>
0;378;(42,66);;<0>
0;379;(41,66);;<0>
0;380;(39,66);;<0>
0;381;(35,66);;<0>
0;382;(34,66);;<0>
0;383;(31,66);;<0>
0;384;(28,66);;<0>
0;385;(21,66);;<0>
0;386;(19,66);;<0>
0;387;(18,66);;<0>
0;388;(34,72);;<0>
0;389;(16,66);;<0>
0;390;(14,66);;<0>
0;391;(13,66);;<0>
0;392;(12,66);;<0>
0;393;(11,66);;<0>
0;394;(7,66);;<0>
0;395;(6,66);;<0>
0;396;(-17,73);;<0>
0;397;(68,68);;<0>
0;398;(2,66);;<0>
0;399;(1,66);;<0>
0;400;(0,66);;<0>
0;401;(-4,66);;<0>
0;402;(-7,66);;<0>
0;403;(-8,66);;<0>
0;404;(-10,66);;<0>
0;405;(-11,66);;<0>
0;406;(-12,66);;<0>
0;407;(-13,66);;<0>
0;408;(-14,66);;<0>
0;409;(-21,66);;<0>
0;410;(-24,66);;<0>
0;411;(74,65);;<0>
0;412;(71,65);;<0>
0;413;(67,65);;<0>
0;414;(65,65);;<0>
0;415;(64,65);;<0>
0;416;(63,65);;<0>
0;417;(61,65);;<0>
0;418;(59,65);;<0>
0;419;(57,65);;<0>
0;420;(51,65);;<0>
0;421;(-15,73);;<0>
0;422;(50,65);;<0>
0;423;(47,65);;<0>
0;424;(45,65);;<0>
0;425;(44,65);;<0>
0;426;(40,65);;<0>
0;427;(35,65);;<0>
0;428;(59,69);;<0>
0;429;(31,65);;<0>
0;430;(30,65);;<0>
0;431;(28,65);;<0>
0;432;(25,65);;<0>
0;433;(17,65);;<0>
0;434;(15,65);;<0>
0;435;(14,65);;<0>
0;436;(12,65);;<0>
0;437;(11,65);;<0>
0;438;(7,65);;<0>
0;439;(5,65);;<0>
0;440;(4,65);;<0>
0;441;(2,65);;<0>
0;442;(1,65);;<0>
0;443;(-1,65);;<0>
0;444;(-4,65);;<0>
0;445;(-8,65);;<0>
0;446;(-9,65);;<0>
0;447;(-10,65);;<0>
0;448;(-12,65);;<0>
0;449;(-14,65);;<0>
0;450;(-20,65);;<0>
0;451;(8,73);;<0>
0;452;(75,64);;<0>
0;453;(-10,72);;<0>
0;454;(73,64);;<0>
0;455;(72,64);;<0>
0;456;(63,64);;<0>
0;457;(61,64);;<0>
0;458;(60,64);;<0>
0;459;(68,64);;<0>
0;460;(55,64);;<0>
0;461;(53,64);;<0>
0;462;(52,64);;<0>
0;463;(51,64);;<0>
0;464;(48,64);;<0>
0;465;(43,64);;<0>
0;466;(38,64);;<0>
0;467;(37,64);;<0>
0;468;(34,64);;<0>
0;469;(32,64);;<0>
0;470;(30,64);;<0>
0;471;(3,68);;<0>
0;472;(27,64);;<0>
0;473;(26,64);;<0>
0;474;(24,64);;<0>
0;475;(23,64);;<0>
0;476;(66,65);;<0>
0;477;(20,64);;<0>
0;478;(18,64);;<0>
0;479;(17,64);;<0>
0;480;(16,64);;<0>
0;481;(12,64);;<0>
0;482;(-4,69);;<0>
0;483;(11,64);;<0>
0;484;(8,64);;<0>
0;485;(3,64);;<0>
0;486;(1,64);;<0>
0;487;(-1,64);;<0>
0;488;(-5,64);;<0>
0;489;(56,68);;<0>
0;490;(-7,64);;<0>
0;491;(55,65);;<0>
0;492;(-11,64);;<0>
0;493;(-15,64);;<0>
0;494;(-19,70);;<0>
0;495;(-16,64);;<0>
